#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0149","+","Immersive Equipment Displays - Mura Presets","","https://www.nexusmods.com/skyrimspecialedition/mods/62360","C:/Users/Leandro/Downloads/Immersive Equipment Displays - Mura Presets-62360-1-1-1642883189.7z"
"0150","+","Immersive Equipment Displays for 1.6.629 and newer","","https://www.nexusmods.com/skyrimspecialedition/mods/62001","C:/Users/Leandro/Downloads/Immersive Equipment Displays for 1.6.629 and newer-62001-1-7-4-1702213373.zip"
"0151","+","Immersive Interactions - Animated Actions","","https://www.nexusmods.com/skyrimspecialedition/mods/47670","C:/Users/Leandro/Downloads/Immersive Interactions - Animated Actions-47670-1-78-1724933859.zip"
"0152","+","Immersive Interactions - Legacy Settings Loader","","https://www.nexusmods.com/skyrimspecialedition/mods/56963","C:/Users/Leandro/Downloads/Immersive Interactions - Legacy Settings Loader-56963-1-4-0-1690050325.zip"
"0153","+","Immersive Interactions - New Anims","","https://www.nexusmods.com/skyrimspecialedition/mods/117983","C:/Users/Leandro/Downloads/Immersive Interactions - New Anims-117983-1-4-1745006246.zip"
"0154","+","Immersive Interactions - Quick Loot with Movement","","https://www.nexusmods.com/skyrimspecialedition/mods/96894","C:/Users/Leandro/Downloads/Immersive Interactions - Quick Loot with Movement-96894-1-5-1703774593.7z"
"0155","+","Immersive Rejections","","https://www.nexusmods.com/skyrimspecialedition/mods/67930","C:/Users/Leandro/Downloads/Immersive Rejections-67930-1-13-1705424529.rar"
"0156","+","Improved Barstool Exit Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/143012","C:/Users/Leandro/Downloads/Improved Barstool Exit Animation-143012-1-4-1758663795.zip"
"0157","+","Improved Idle Laydown Animations - OAR","","https://www.nexusmods.com/skyrimspecialedition/mods/99691","C:/Users/Leandro/Downloads/Improved Idle Laydown Animations - OAR-99691-1-1-1696882770.zip"
"0158","+","Jump Slide Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/132841","C:/Users/Leandro/Downloads/Jump Slide Fix-132841-1-0-1730448424.zip"
"0159","+","Lively Cart Driver Animations (OAR)","","https://www.nexusmods.com/skyrimspecialedition/mods/70595","C:/Users/Leandro/Downloads/Lively Cart Driver Animations (OAR)-70595-2-0-1-1724892510.zip"
"0160","+","Lively Children Animations (OAR)","","https://www.nexusmods.com/skyrimspecialedition/mods/67557","C:/Users/Leandro/Downloads/Lively Children Animations (OAR)-67557-2-2-1-1714315929.zip"
"0161","+","Malignis Animations - Conditions","","https://www.nexusmods.com/skyrimspecialedition/mods/132028","C:/Users/Leandro/Downloads/Malignis Animations - Conditions v1.08-132028-1-08-1767558242.rar"
"0162","+","Malignis Animations - Random Idles TB","","https://www.nexusmods.com/skyrimspecialedition/mods/103288","C:/Users/Leandro/Downloads/Malignis Animations - Random Idles TB v1.31-103288-1-31-1735546492.rar"
"0163","+","MfgFix NG AiO","","https://www.nexusmods.com/skyrimspecialedition/mods/11669","C:/Users/Leandro/Downloads/MfgFix-11669-1-6-1-1664520342.7z"
"0164","+","Mu Facial Expression Extended","","https://www.nexusmods.com/skyrimspecialedition/mods/109636","C:/Users/Leandro/Downloads/Mu Facial Expression Extended - MFEE-109636-0-5-1-1771711402.zip"
"0165","+","New Creature Animation Centurion OAR","","https://www.nexusmods.com/skyrimspecialedition/mods/137900","C:/Users/Leandro/Downloads/Centurion OAR-137900-1-006-1756171132.zip"
"0166","+","New Creature Animation Falmer Animation 2.0 DAR No SCAR Version","","https://www.nexusmods.com/skyrimspecialedition/mods/83572","C:/Users/Leandro/Downloads/Falmer Animation 2.0 DAR No SCAR Version-83572-1-0-1742812385.zip"
"0167","+","New Creature Animation Frost Atronach Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/84568","C:/Users/Leandro/Downloads/Frost Atronach Animation-84568-1-0-1676430096.7z"
"0168","+","New Creature Animation Giant Animation 2.01","","https://www.nexusmods.com/skyrimspecialedition/mods/83317","C:/Users/Leandro/Downloads/Giant Animation 2.01-83317-2-01-1743658507.zip"
"0169","+","New Creature Animation Riekling Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/82974","C:/Users/Leandro/Downloads/Riekling Animation-82974-1-0-1674114968 (1).7z"
"0170","+","New Creature Animation Troll Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/84026","C:/Users/Leandro/Downloads/Troll Animation-84026-1-0-1676427888.7z"
"0171","+","New Creature Animation Werewolf OAR 2.01","","https://www.nexusmods.com/skyrimspecialedition/mods/83806","C:/Users/Leandro/Downloads/Werewolf OAR 2.01-83806-2-01-1739713012.zip"
"0172","+","No Load Door NPC Fade","","https://www.nexusmods.com/skyrimspecialedition/mods/170693","C:/Users/Leandro/Downloads/No Load Door NPC Fade-170693-0-2-1769335742.7z"
"0173","+","No Spinning Death Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/1432","C:/Users/Leandro/Downloads/No Spinning Death Animation-1432-1-31.zip"
"0174","+","NPCs Take Cover","","https://www.nexusmods.com/skyrimspecialedition/mods/111890","C:/Users/Leandro/Downloads/NPCs Take Cover-111890-1-01-1710750755.rar"
"0175","+","NPCs Use Potions","","https://www.nexusmods.com/skyrimspecialedition/mods/67489","C:/Users/Leandro/Downloads/NPCsUsePotions - Fomod-67489-4-1-1-1760688311.7z"
"0176","+","NPCs Wear Amulets of Mara","","https://www.nexusmods.com/skyrimspecialedition/mods/66125","C:/Users/Leandro/Downloads/NPCs Wear Amulets of Mara-66125-2-03-1677535055.zip"
"0177","+","Offset Movement Animation","","https://www.nexusmods.com/skyrimspecialedition/mods/110408","C:/Users/Leandro/Downloads/Offset Movement Animation-110408-1-2-1723840515.zip"
"0178","+","Open Animation Replacer","","https://www.nexusmods.com/skyrimspecialedition/mods/92109","C:/Users/Leandro/Downloads/Open Animation Replacer-92109-3-0-1-1771716018.7z"
"0179","+","Open Animation Replacer - Detection Plugin","","https://www.nexusmods.com/skyrimspecialedition/mods/104806","C:/Users/Leandro/Downloads/Open Animation Replacer - Detection Plugin-104806-2-1-3-1738850809.zip"
"0180","+","Open Animation Replacer - IED conditions","","https://www.nexusmods.com/skyrimspecialedition/mods/98308","C:/Users/Leandro/Downloads/Open Animation Replacer - IED conditions-98308-1-0-3-1693587943.zip"
"0181","+","Open Animations Romance and Erotica","","https://www.nexusmods.com/skyrimspecialedition/mods/98732","C:/Users/Leandro/Downloads/Open Animations RE for OStim Standalone-98732-1-52-1-1743384014.7z"
"0182","+","Paired Animation Improvements","","https://www.nexusmods.com/skyrimspecialedition/mods/99621","C:/Users/Leandro/Downloads/Paired Animation Improvements-99621-1-0-2-1706671876.7z"
"0183","+","PC Head Tracking - MCM v4.8 SE","","https://www.nexusmods.com/skyrimspecialedition/mods/11993","C:/Users/Leandro/Downloads/PC Head Tracking - MCM v4.8 SE-11993-v4-8-1629727400.zip"
"0184","+","PC Head Tracking and Voice Type SE - Settings Loader","","https://www.nexusmods.com/skyrimspecialedition/mods/89133","C:/Users/Leandro/Downloads/PC Head Tracking and Voice Type SE - Settings Loader-89133-1-0-0-1681370756.zip"
"0185","+","PC Head Tracking Voice Type and Dragon Shouts - Lucina (Fire Emblem) - NEWLY VOICED","","https://www.nexusmods.com/skyrimspecialedition/mods/70382","C:/Users/Leandro/Downloads/Lucina Player Voice Mod Version 1.6.0 (FOMOD)-70382-1-6-0-1696012103.7z"
"0186","+","PC Head Traking Voice Event script fix VT","","https://www.nexusmods.com/skyrimspecialedition/mods/90940","C:/Users/Leandro/Downloads/voiceEvent script fix for PCHTandVT_v1.01-90940-1-01-1683640675.7z"
"0187","+","PCHeadTracking-MfgFix-patch","","https://www.nexusmods.com/skyrimspecialedition/mods/11669","C:/Users/Leandro/Downloads/MfgFix-PCHeadTracking-patch-11669-1-0-1591276799.7z"
"0188","+","QuickLootRE","","https://www.nexusmods.com/skyrimspecialedition/mods/21085","C:/Users/Leandro/Downloads/QuickLootRE-21085-2-15-0-1685228732.zip"
"0189","+","Quick Loot RE for 1.6.1130","","https://www.nexusmods.com/skyrimspecialedition/mods/108262","C:/Users/Leandro/Downloads/Quick Loot RE for 1.6.1130-108262-2-16-0-1704167818.7z"
"0190","+","random death animation","","https://www.nexusmods.com/skyrimspecialedition/mods/93061","C:/Users/Leandro/Downloads/random death animation-93061-1-1-1719764055.7z"
"0191","+","Seamless Varied Masculine Idles OAR","","https://www.nexusmods.com/skyrimspecialedition/mods/96504","C:/Users/Leandro/Downloads/Seamless Varied Masculine Idles OAR-96504-1-1-1699467882.zip"
"0192","+","Simple Diving System","","https://www.nexusmods.com/skyrimspecialedition/mods/154534","C:/Users/Leandro/Downloads/Simple Diving System-154534-1-0-3-1759010252.rar"
"0193","+","SkyParkour V3 - Parkour Framework","","https://www.nexusmods.com/skyrimspecialedition/mods/132292","C:/Users/Leandro/Downloads/SkyParkour V3 - Parkour Framework-132292-3-4-0-1769981409.rar"
"0194","+","Ultimate Animated Potions NG","","https://www.nexusmods.com/skyrimspecialedition/mods/97674","C:/Users/Leandro/Downloads/Ultimate Animated Potions NG-97674-2-8-1739367782.7z"
"0195","+","Vanilla Eating Animation Fixes","","https://www.nexusmods.com/skyrimspecialedition/mods/120727","C:/Users/Leandro/Downloads/Vanilla Eating Animation Fixes-120727-1-2-1717196746.zip"
"0196","+","Better Horse Dismounting","","https://www.nexusmods.com/skyrimspecialedition/mods/127605","C:/Users/Leandro/Downloads/Better Horse Dismounting-127605-1-0-1724657971.zip"
"0197","+","Dynamic Horse Petting Animations","","https://www.nexusmods.com/skyrimspecialedition/mods/111767","C:/Users/Leandro/Downloads/Dynamic Horse Petting Animations-111767-1-11-1719312769.zip"
"0198","+","Horsepower - Modernized Horse Riding","","https://www.nexusmods.com/skyrimspecialedition/mods/169335","C:/Users/Leandro/Downloads/Horsepower - Modernized Horse Riding-169335-1-0-3-1770671483.rar"
"0199","+","Horsepower - Pandora Cache","","https://www.nexusmods.com/skyrimspecialedition/mods/169335","C:/Users/Leandro/Downloads/Horsepower - Pandora Cache-169335-1-0-1-1769599169.zip"
"0200","+","Horsepower - Saturalia Reindeer Ragdoll Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/169335","C:/Users/Leandro/Downloads/Horsepower - Saturalia Reindeer Ragdoll Patch-169335-1-0-1-1769430230.zip"
"0201","-","AUDIO FIX_separator","","",""
"0202","+","Regional Sounds Expansion (2.1.0)","","https://www.nexusmods.com/skyrimspecialedition/mods/77829","C:/Users/Leandro/Downloads/Regional Sounds Expansion (2.1.0)-77829-2-1-0-1748013115.7z"
"0203","+","Riding Animation Overhaul - RAO","","https://www.nexusmods.com/skyrimspecialedition/mods/102881","C:/Users/Leandro/Downloads/Riding Animation Overhaul - RAO-102881-2-0-1770740422.zip"
"0204","+","Sound Record Distributor","","https://www.nexusmods.com/skyrimspecialedition/mods/77815","C:/Users/Leandro/Downloads/Sound Record Distributor-77815-1-5-0-1708473851.zip"
"0205","+","Underwater Loop and Swimming Sounds","","https://www.nexusmods.com/skyrimspecialedition/mods/143141","C:/Users/Leandro/Downloads/Underwater Loop and Swimming Sounds-143141-1-1-1740967816.7z"
"0206","+","Reverb Interior Sounds Expansion","","https://www.nexusmods.com/skyrimspecialedition/mods/77947","C:/Users/Leandro/Downloads/Reverb Interior Sounds Expansion (1.5.0)-77947-1-5-0-1675142342.7z"
"0207","+","NPC Dialogue Audio Enhancer 1.01","","https://www.nexusmods.com/skyrimspecialedition/mods/40040","C:/Users/Leandro/Downloads/NPC Dialogue Audio Enhancer 1.01-40040-1-01-1754499485.zip"
"0208","-","TEXTURAS E MALHAS_separator","","",""
"0209","+","Static Mesh Improvement Mod","","https://www.nexusmods.com/skyrimspecialedition/mods/659","C:/Users/Leandro/Downloads/SMIM SE 2-08-659-2-08.7z"
"0210","+","Static Mesh Improvement Mod Improvement Mod","","https://www.nexusmods.com/skyrimspecialedition/mods/55543","C:/Users/Leandro/Downloads/Static Mesh Improvement Mod Improvement Mod-55543-1-13-1-1741128505.7z"
"0211","+","Static Mesh Improvement Mod - SMIM Patch - CC Handrihain","","https://www.nexusmods.com/skyrimspecialedition/mods/30517","C:/Users/Leandro/Downloads/Static Mesh Improvement Mod - SMIM Patch-30517-1-0-0-1574437892.7z"
"0212","+","Blended Roads less bumpiness - BoS","","https://www.nexusmods.com/skyrimspecialedition/mods/131032","C:/Users/Leandro/Downloads/Blended Roads less bumpiness - BoS-131032-2-0-1728504415.zip"
"0213","+","Better Dynamic Ash SE","","https://www.nexusmods.com/skyrimspecialedition/mods/54754","C:/Users/Leandro/Downloads/Better Dynamic Ash SE v2.1.1-54754-2-1-1-1630276704.7z"
"0214","+","Better Dynamic Snow SE","","https://www.nexusmods.com/skyrimspecialedition/mods/9121","C:/Users/Leandro/Downloads/Better Dynamic Snow SE v3.6.0-9121-3-6-0-1691031879.7z"
"0215","+","Skyland AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/34179","C:/Users/Leandro/Downloads/Skyland AIO-34179-4-32-1700281282.7z"
"0216","+","Skyland bits and Bobs - Performance Version","","https://www.nexusmods.com/skyrimspecialedition/mods/95032","C:/Users/Leandro/Downloads/Skyland bits and Bobs - Performance Version-95032-1-91-1725506698.7z"
"0217","+","Glorious Doors of Skyrim (GDOS)","","https://www.nexusmods.com/skyrimspecialedition/mods/32376","C:/Users/Leandro/Downloads/Glorious Doors of Skyrim (GDOS) SE-32376-1-1-1664694894.7z"
"0218","+","Fluffworks Quality","","https://www.nexusmods.com/skyrimspecialedition/mods/56361","C:/Users/Leandro/Downloads/Fluffworks Quality-56361-1-1f-1646241621.7z"
"0219","+","Fluffy Apex Werewolf","","https://www.nexusmods.com/skyrimspecialedition/mods/69306","C:/Users/Leandro/Downloads/Fluffy Apex Werewolf Replacer 2k-69306-1-1654725122.7z"
"0220","+","Fluffy Foxes","","https://www.nexusmods.com/skyrimspecialedition/mods/94730","C:/Users/Leandro/Downloads/Fluffy Foxes-94730-1-0-1688167356.rar"
"0221","+","Fluffy Spiders - Fully fluffed version","","https://www.nexusmods.com/skyrimspecialedition/mods/107949","C:/Users/Leandro/Downloads/Fluffy Spiders - Fully fluffed version.-107949-1-2-1703910386.rar"
"0222","+","Mandragorasprouts Daedric Shrines - All in One - 2K","","https://www.nexusmods.com/skyrimspecialedition/mods/78772","C:/Users/Leandro/Downloads/Daedric Shrines - All in One  - 2K-78772-1-02-1724805261.zip"
"0223","+","Mandragorasprouts Daedric Shrines - All in One - My Patches by Xtudo - Meridia HD pedestal","","https://www.nexusmods.com/skyrimspecialedition/mods/78809","C:/Users/Leandro/Downloads/Daedric Shrines - All in One - My Patches by Xtudo - Meridia HD pedestal-78809-1-1668478696.7z"
"0224","+","Mandragorasprouts Dibella 2k","","https://www.nexusmods.com/skyrimspecialedition/mods/61553","C:/Users/Leandro/Downloads/Dibella 2k-61553-1-04-1641745436.zip"
"0225","+","Mandragorasprouts Kynareth - SE by Xtudo - Exterior SpaghettiC Lant","","https://www.nexusmods.com/skyrimspecialedition/mods/91379","C:/Users/Leandro/Downloads/Kynareth - SE by Xtudo - Exterior SpaghettiC Lant-91379-2-8-1755438819.7z"
"0226","+","Mandragorasprouts Lux Via Kynareth Addon","","https://www.nexusmods.com/skyrimspecialedition/mods/93217","C:/Users/Leandro/Downloads/Lux Via Kynareth Addon-93217-1-0-1686403336.rar"
"0227","+","Mandragorasprouts Mara - My patches SE by Xtudo - Alternate Start OG Size","","https://www.nexusmods.com/skyrimspecialedition/mods/93917","C:/Users/Leandro/Downloads/Mara - My patches SE by Xtudo - ASLAL-93917-1-1-1687348036.7z"
"0228","+","Mandragorasprouts Shine of Jyggalag 2k","","https://www.nexusmods.com/skyrimspecialedition/mods/80679","C:/Users/Leandro/Downloads/Shine of Jyggalag 2k-80679-1-0-1671101506.zip"
"0229","+","Mandragorasprouts Statue of Kynareth","","https://www.nexusmods.com/skyrimspecialedition/mods/91358","C:/Users/Leandro/Downloads/Statue of Kynareth-91358-1-0-1684086247.zip"
"0230","+","Mandragorasprouts Statue of Mara","","https://www.nexusmods.com/skyrimspecialedition/mods/93909","C:/Users/Leandro/Downloads/Statue of mara-93909-1-01-1687364050.zip"
"0231","+","Mandragorasprouts Statue of Sithis 2k","","https://www.nexusmods.com/skyrimspecialedition/mods/73735","C:/Users/Leandro/Downloads/Statue of Sithis 2k-73735-1-0-1661047828.zip"
"0232","+","NAT.ENB - ESP WEATHER PLUGIN v3.1.1C - Fixed","","https://www.nexusmods.com/skyrimspecialedition/mods/27141","C:/Users/Leandro/Downloads/NAT.ENB - ESP WEATHER PLUGIN v3.1.1C - Fixed-27141-3-1-1C-F-1685872331.zip"
"0233","+","Embers XD","","https://www.nexusmods.com/skyrimspecialedition/mods/37085","C:/Users/Leandro/Downloads/Embers XD 2K-37085-3-2-0-1767264142.zip"
"0234","+","Embers XD Blacksmith Smelte Patch Skyland Bits and Bobs","","https://www.nexusmods.com/skyrimspecialedition/mods/95032","C:/Users/Leandro/Downloads/Blacksmith Smelter Embers XD Patch-95032-1-0-1688526426.7z"
"0235","+","Embers XD 2) Torch Permanent Replacer","","https://www.nexusmods.com/skyrimspecialedition/mods/99668","C:/Users/Leandro/Downloads/2) Torch Permanent Replacer _ Embers XD-99668-1-1-1697052127.rar"
"0236","+","Medieval Torch","","https://www.nexusmods.com/skyrimspecialedition/mods/27050","C:/Users/Leandro/Downloads/Medieval Torch-27050-1-0-2-1561975827.7z"
"0237","+","Embers XD Torch Edit","","https://www.nexusmods.com/skyrimspecialedition/mods/134219","C:/Users/Leandro/Downloads/Embers XD Torch Edit-134219-1-21-1765096660.zip"
"0238","+","Embers XD Medieval Torch Edit","","https://www.nexusmods.com/skyrimspecialedition/mods/134219","C:/Users/Leandro/Downloads/Embers XD Medieval Torch Edit-134219-1-12-1732092976.zip"
"0239","+","Medieval Candlehorns and Sconces","","https://www.nexusmods.com/skyrimspecialedition/mods/24324","C:/Users/Leandro/Downloads/Medieval Candlehorns and Sconces-24324-2-0-0-1561629898.7z"
"0240","+","Lux","","https://www.nexusmods.com/skyrimspecialedition/mods/43158","C:/Users/Leandro/Downloads/Lux (main)-43158-7-0-1753427726.rar"
"0241","+","Lux - Via","","https://www.nexusmods.com/skyrimspecialedition/mods/63588","C:/Users/Leandro/Downloads/Lux Via (main)-63588-2-2-1713094342.rar"
"0242","+","Lux Orbis","","https://www.nexusmods.com/skyrimspecialedition/mods/56095","C:/Users/Leandro/Downloads/Lux Orbis (main)-56095-4-5-1732873513.rar"
"0243","+","Lux Via - Whiterun Repaired Bridge Addon","","https://www.nexusmods.com/skyrimspecialedition/mods/72384","C:/Users/Leandro/Downloads/Lux Via - Whiterun Repaired Bridge Addon-72384-1-0-2-1680893770.rar"
"0244","+","Lux Orbis (patch hub)","","https://www.nexusmods.com/skyrimspecialedition/mods/114169","C:/Users/Leandro/Downloads/Lux Orbis - Patch Hub-114169-4-7-1765186191.rar"
"0245","+","Lux (patch hub)","","https://www.nexusmods.com/skyrimspecialedition/mods/113002","C:/Users/Leandro/Downloads/Lux (patch hub)-113002-7-1-1765181180.rar"
"0246","+","Lux - Via (patch hub)","","https://www.nexusmods.com/skyrimspecialedition/mods/116722","C:/Users/Leandro/Downloads/Lux Via (patch hub)-116722-2-2-1713093664.rar"
"0247","+","Lux CS Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/153919","C:/Users/Leandro/Downloads/Lux CS-153919-2-3-6-1770327954.zip"
"0248","+","Spaghetti's Cities - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/84735","C:/Users/Leandro/Downloads/Spaghetti's Cities - AIO-84735-1-3-1679426173.zip"
"0249","+","Spaghetti's Cities - Clutter Addons","","https://www.nexusmods.com/skyrimspecialedition/mods/147408","C:/Users/Leandro/Downloads/Spaghetti's Cities - Clutter Addons-147408-1-0-1744467228.7z"
"0250","+","Spaghetti's Cities SkyforgeSC","","https://www.nexusmods.com/skyrimspecialedition/mods/35421","C:/Users/Leandro/Downloads/SkyforgeSC (Spaghetti's Cities)-35421-2-24-1748201688.7z"
"0251","+","Spaghetti's Faction Halls - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/106054","C:/Users/Leandro/Downloads/Spaghetti's Faction Halls - AIO-106054-1-1-1701719359.zip"
"0252","+","Spaghetti's Mods - NavCut Addon","","https://www.nexusmods.com/skyrimspecialedition/mods/120793","C:/Users/Leandro/Downloads/Spaghetti's Mods - NavCut Addon-120793-1-0-1717277555.7z"
"0253","+","Spaghetti's Orc Strongholds - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/95926","C:/Users/Leandro/Downloads/Spaghetti's Orc Strongholds - AIO-95926-1-3-1690210047.zip"
"0254","+","Spaghetti's Palaces - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/93733","C:/Users/Leandro/Downloads/Spaghetti's Palaces - AIO-93733-1-0-1687033898.zip"
"0255","+","Spaghetti's Palaces - AIO Lux Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/93733","C:/Users/Leandro/Downloads/Lux Patch-93733-1-0-1687034008.zip"
"0256","+","Spaghetti's Solstheim - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/91263","C:/Users/Leandro/Downloads/Spaghetti's Solstheim - AIO-91263-1-0-1684001014.zip"
"0257","+","Spaghetti's Towns - AIO","","https://www.nexusmods.com/skyrimspecialedition/mods/89775","C:/Users/Leandro/Downloads/Spaghetti's Towns - AIO-89775-1-0-1682178988.zip"
"0258","+","Spaghetti's Towns and Cities Lanterns Addon","","https://www.nexusmods.com/skyrimspecialedition/mods/149249","C:/Users/Leandro/Downloads/Spaghetti's Towns and Cities Lanterns Addon-149249-1-2-1-1748182046.zip"
"0259","+","Lightened Skyrim","","https://www.nexusmods.com/skyrimspecialedition/mods/111475","C:/Users/Leandro/Downloads/Lightened Skyrim-111475-1-10-1765663682.7z"
"0260","+","Rudy - More dramatic Red Mountain Plume","","https://www.nexusmods.com/skyrimspecialedition/mods/89103","C:/Users/Leandro/Downloads/Rudy HQ - More dramatic Red Mountain Plume-89103-1-2-1685394162.zip"
"0261","+","eFPS - AnniversaryEdition","","https://www.nexusmods.com/skyrimspecialedition/mods/58727","C:/Users/Leandro/Downloads/eFPS - AnniversaryEdition-58727-1-1-1638904415.zip"
"0262","+","eFPS - Exterior FPS boost","","https://www.nexusmods.com/skyrimspecialedition/mods/54907","C:/Users/Leandro/Downloads/eFPS - Exterior FPS boost-54907-2-4-2-1661953157.zip"
"0263","+","eFPS Skyrim SE - Project Optimization - ESL VERSION","","https://www.nexusmods.com/skyrimspecialedition/mods/14084","C:/Users/Leandro/Downloads/Skyrim SE - Project Optimization - ESL VERSION-14084-1-5-1644564092.zip"
"0264","-","VEGETAÇÃO_separator","","",""
"0265","+","Happy Little Trees","","https://www.nexusmods.com/skyrimspecialedition/mods/50961","C:/Users/Leandro/Downloads/Happy Little Trees-50961-2-03-1664548401.7z"
"0266","+","Happy Little Trees 3D LOD - Performance","","https://www.nexusmods.com/skyrimspecialedition/mods/56907","C:/Users/Leandro/Downloads/Happy Little Trees 3D LOD - Performance-56907-2-1-2-1742443542.7z"
"0267","+","Happy Little Tree - High Quality Ivy Replacer Addo","","https://www.nexusmods.com/skyrimspecialedition/mods/155583","C:/Users/Leandro/Downloads/Happy Little Tree - High Quality Ivy Replacer Addo-155583-1-0-1753581537.7z"
"0268","+","Water Mod","","https://www.nexusmods.com/skyrimspecialedition/mods/56520","C:/Users/Leandro/Downloads/Water Mod-56520-0-8-1758863902.7z"
"0269","+","Simplicity of Sea - Water Color Tweaks","","https://www.nexusmods.com/skyrimspecialedition/mods/148761","C:/Users/Leandro/Downloads/Simplicity of Sea - Water Color Tweaks-148761-1-0-0-1745810859.7z"
"0270","+","Natural Waterfalls","","https://www.nexusmods.com/skyrimspecialedition/mods/87261","C:/Users/Leandro/Downloads/Natural Waterfalls-87261-3-7-1769163332.7z"
"0271","+","Cathedral - 3D Clovers - Hybrid 3D","","https://www.nexusmods.com/skyrimspecialedition/mods/68793","C:/Users/Leandro/Downloads/Cathedral - 3D Clovers - Hybrid 3D-68793-4-1706832920.zip"
"0272","+","Cathedral - 3D Deathbell","","https://www.nexusmods.com/skyrimspecialedition/mods/76460","C:/Users/Leandro/Downloads/Cathedral - 3D Deathbell-76460-1-1-1664789773.zip"
"0273","+","Cathedral - 3D Dragons Tongue - White Violet","","https://www.nexusmods.com/skyrimspecialedition/mods/85694","C:/Users/Leandro/Downloads/Cathedral - 3D Dragons Tongue - White Violet-85694-1-3-1677329495.zip"
"0274","+","Cathedral - 3D Grass Library - Meshes","","https://www.nexusmods.com/skyrimspecialedition/mods/80687","C:/Users/Leandro/Downloads/DrJacopo's - 3D Grass Library - Meshes-80687-16-53-1763626250.zip"
"0275","+","Cathedral - 3D Lavender - Vanilla Size","","https://www.nexusmods.com/skyrimspecialedition/mods/68310","C:/Users/Leandro/Downloads/Cathedral - 3D Lavender - Vanilla Size-68310-1-3-1653203946.7z"
"0276","+","Cathedral - 3D Mountain Flowers","","https://www.nexusmods.com/skyrimspecialedition/mods/41312","C:/Users/Leandro/Downloads/Cathedral - 3D Mountain Flowers-41312-2-0-1652927174.7z"
"0277","+","Cathedral - 3D Mountain Flowers Resized and Desaturated","","https://www.nexusmods.com/skyrimspecialedition/mods/77531","C:/Users/Leandro/Downloads/Cathedral - 3D Mountain Flowers Resized and Desaturated-77531-1-1-1666533564.7z"
"0278","+","Cathedral - 3D Nightshade","","https://www.nexusmods.com/skyrimspecialedition/mods/81284","C:/Users/Leandro/Downloads/Cathedral - 3D Nightshade-81284-2-4-1672997434.zip"
"0279","+","Cathedral - 3D Pine Shrubs","","https://www.nexusmods.com/skyrimspecialedition/mods/94791","C:/Users/Leandro/Downloads/Cathedral - 3D Pine Shrubs-94791-1-2-1688996056.zip"
"0280","+","Cathedral - 3D Snow Berries - Green","","https://www.nexusmods.com/skyrimspecialedition/mods/69415","C:/Users/Leandro/Downloads/Cathedral - 3D Snow Berries - Green-69415-1-0-1655654042.7z"
"0281","+","Cathedral - 3D Stonecrop","","https://www.nexusmods.com/skyrimspecialedition/mods/110726","C:/Users/Leandro/Downloads/Cathedral - 3D Stone-110726-1-2-1707522429.zip"
"0282","+","Cathedral - 3D Sword Ferns","","https://www.nexusmods.com/skyrimspecialedition/mods/82978","C:/Users/Leandro/Downloads/Cathedral - 3D Sword Ferns-82978-4-1687418487.zip"
"0283","+","Cathedral - 3D Thicket and Dead Shrub","","https://www.nexusmods.com/skyrimspecialedition/mods/86392","C:/Users/Leandro/Downloads/Cathedral - 3D Thicket and Dead Shrub-86392-1-1678043151.zip"
"0284","+","Cathedral - 3D Thistle","","https://www.nexusmods.com/skyrimspecialedition/mods/67619","C:/Users/Leandro/Downloads/Cathedral - 3D Thistle-67619-2-1-1674168132.zip"
"0285","+","Cathedral - 3D Tundra Cotton","","https://www.nexusmods.com/skyrimspecialedition/mods/68068","C:/Users/Leandro/Downloads/Cathedral - 3D Tundra Cotton-68068-2-0-1653868046.7z"
"0286","+","Cathedral - 3D Tundra Shrubs","","https://www.nexusmods.com/skyrimspecialedition/mods/108747","C:/Users/Leandro/Downloads/Cathedral - 3D Tundra Shrubs-108747-1-1-1704769901.zip"
"0287","+","Cathedral - Plants","","https://www.nexusmods.com/skyrimspecialedition/mods/26104","C:/Users/Leandro/Downloads/Cathedral - Plants-26104-1-02-1577918458.7z"
"0288","+","Cathedral Mushrooms","","https://www.nexusmods.com/skyrimspecialedition/mods/26103","C:/Users/Leandro/Downloads/Cathedral Mushrooms-26103-1-0-1558993625.7z"
"0289","+","Freak's Floral Meadows","","https://www.nexusmods.com/skyrimspecialedition/mods/148525","C:/Users/Leandro/Downloads/Freak's Floral Meadows-148525-1-0-1745733569.zip"
