#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0038","+","Dynamic Activation Key","","https://www.nexusmods.com/skyrimspecialedition/mods/96273","C:/Users/Leandro/Downloads/Dynamic Activation Key-96273-1-02-1693177288.zip"
"0039","+","Dynamic Campsites Survival","","https://www.nexusmods.com/skyrimspecialedition/mods/106932","C:/Users/Leandro/Downloads/Dynamic Campsites-106932-2-0-0-1718883003.rar"
"0040","+","Dynamic Campsites 2K","","https://www.nexusmods.com/skyrimspecialedition/mods/136009","C:/Users/Leandro/Downloads/Dynamic Campsites 2K-136009-1-1-1733766396.zip"
"0041","+","Dynamic Campsites - SkyPatcher","","https://www.nexusmods.com/skyrimspecialedition/mods/138542","C:/Users/Leandro/Downloads/Dynamic Campsites - SkyPatcher-138542-1-0-1736412650.zip"
"0042","+","Dynamic Key Action Framework NG","","https://www.nexusmods.com/skyrimspecialedition/mods/87706","C:/Users/Leandro/Downloads/DKAF-87706-v1-0-1679787928.7z"
"0043","+","EngineFixes","","https://www.nexusmods.com/skyrimspecialedition/mods/17230","C:/Users/Leandro/Downloads/Engine Fixes - Main File-17230-7-0-19-1758815363.7z"
"0044","+","Exit Sneak On Sprint","","https://www.nexusmods.com/skyrimspecialedition/mods/138669","C:/Users/Leandro/Downloads/Exit Sneak On Sprint-138669-1-2-1-1769456857.7z"
"0045","+","Face Discoloration Fix SE","","https://www.nexusmods.com/skyrimspecialedition/mods/42441","C:/Users/Leandro/Downloads/1170/Face Discoloration Fix SE-42441-1-0-3-1664040600.7z"
"0046","+","FileAccess Interface for Skyrim SE Scripts - FISSES (Anniversary Edition) BETA","","https://www.nexusmods.com/skyrimspecialedition/mods/13956","C:/Users/Leandro/Downloads/FileAccess Interface for Skyrim SE Scripts - FISSES (Anniversary Edition) BETA-13956-1-4-1-1664092979.zip"
"0047","+","FISSES for Skyrim AE 1.6.1130 (or later)","","https://www.nexusmods.com/skyrimspecialedition/mods/107513","C:/Users/Leandro/Downloads/FISSES for Skyrim AE 1.6.1130 (or later)-107513-1-4-2-1703191369.zip"
"0048","+","Fuz Ro D'oh","","https://www.nexusmods.com/skyrimspecialedition/mods/15109","C:/Users/Leandro/Downloads/Fuz Ro D'oh-15109-2-5-1706039953.7z"
"0049","+","Hearthfire Multiple Adoptions and Custom Home Support SE","","https://www.nexusmods.com/skyrimspecialedition/mods/3862","C:/Users/Leandro/Downloads/Hearthfire Multiple Adoptions and Custom Home Support SE-3862-3-0-4-1656871468.7z"
"0050","+","Hot Key Skill","","https://www.nexusmods.com/skyrimspecialedition/mods/86352","C:/Users/Leandro/Downloads/Hot Key Skill-86352-0-8-1688522971.zip"
